criterion,null_probability,relative_multiplier,alternative_probability,family_alpha,comparison_count,alpha_per_test,target_power,approximate_trials_required,target_upper_bound
weight_leq_48,0.0029626033033715747,1.1,0.0032588636337087325,0.05,1400,3.571428571428572e-05,0.8,846799,
weight_leq_48,0.0029626033033715747,1.25,0.0037032541292144686,0.05,1400,3.571428571428572e-05,0.8,138642,
weight_leq_48,0.0029626033033715747,1.5,0.004443904955057362,0.05,1400,3.571428571428572e-05,0.8,35893,
weight_leq_48,0.0029626033033715747,2.0,0.005925206606743149,0.05,1400,3.571428571428572e-05,0.8,9533,
active_bytes_leq_14,0.001765552991277432,1.1,0.0019421082904051753,0.05,1400,3.571428571428572e-05,0.8,1422667,
active_bytes_leq_14,0.001765552991277432,1.25,0.00220694123909679,0.05,1400,3.571428571428572e-05,0.8,232934,
active_bytes_leq_14,0.001765552991277432,1.5,0.002648329486916148,0.05,1400,3.571428571428572e-05,0.8,60308,
active_bytes_leq_14,0.001765552991277432,2.0,0.003531105982554864,0.05,1400,3.571428571428572e-05,0.8,16019,
zero_event_upper_bound,,,,0.05,1,0.05,,29956,0.0001
zero_event_upper_bound,,,,0.05,1,0.05,,2995731,1e-06
zero_event_upper_bound,,,,0.05,1,0.05,,299573225,1e-08
