job_id,panel,alpha_hex,delta_hex,alpha_description,delta_description,value_score
value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
value_b00_a80_dA0,byte_values,80000000000000000000000000000000,A0000000000000000000000000000000,"byte 0, value 0x80, weight 1","byte 0, value 0xA0, weight 2",6
value_b00_a40_d41,byte_values,40000000000000000000000000000000,41000000000000000000000000000000,"byte 0, value 0x40, weight 1","byte 0, value 0x41, weight 2",6
value_b00_a01_d06,byte_values,01000000000000000000000000000000,06000000000000000000000000000000,"byte 0, value 0x01, weight 1","byte 0, value 0x06, weight 2",6
value_b00_a91_d01,byte_values,91000000000000000000000000000000,01000000000000000000000000000000,"byte 0, value 0x91, weight 3","byte 0, value 0x01, weight 1",6
value_b00_a90_d24,byte_values,90000000000000000000000000000000,24000000000000000000000000000000,"byte 0, value 0x90, weight 2","byte 0, value 0x24, weight 2",6
value_b00_a48_d48,byte_values,48000000000000000000000000000000,48000000000000000000000000000000,"byte 0, value 0x48, weight 2","byte 0, value 0x48, weight 2",6
value_b00_a28_d60,byte_values,28000000000000000000000000000000,60000000000000000000000000000000,"byte 0, value 0x28, weight 2","byte 0, value 0x60, weight 2",6
value_b00_a20_d61,byte_values,20000000000000000000000000000000,61000000000000000000000000000000,"byte 0, value 0x20, weight 1","byte 0, value 0x61, weight 3",6
value_b00_a1C_d20,byte_values,1C000000000000000000000000000000,20000000000000000000000000000000,"byte 0, value 0x1C, weight 3","byte 0, value 0x20, weight 1",6
value_b00_a0E_d40,byte_values,0E000000000000000000000000000000,40000000000000000000000000000000,"byte 0, value 0x0E, weight 3","byte 0, value 0x40, weight 1",6
value_b00_a04_d46,byte_values,04000000000000000000000000000000,46000000000000000000000000000000,"byte 0, value 0x04, weight 1","byte 0, value 0x46, weight 3",6
value_b00_a02_d98,byte_values,02000000000000000000000000000000,98000000000000000000000000000000,"byte 0, value 0x02, weight 1","byte 0, value 0x98, weight 3",6
value_b00_aC5_d02,byte_values,C5000000000000000000000000000000,02000000000000000000000000000000,"byte 0, value 0xC5, weight 4","byte 0, value 0x02, weight 1",6
value_b00_a86_d03,byte_values,86000000000000000000000000000000,03000000000000000000000000000000,"byte 0, value 0x86, weight 3","byte 0, value 0x03, weight 2",6
value_b00_a84_dC2,byte_values,84000000000000000000000000000000,C2000000000000000000000000000000,"byte 0, value 0x84, weight 2","byte 0, value 0xC2, weight 3",6
