phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,0,160000,80403,0.50251875,0.5,0.0441669199997668,0.5000656740549884,0.5049717346662502,0.972968640268904,0.15854262472456604
calibration,feistel_null,16,bit_a019_d019_off+000,1,160000,79828,0.498925,0.5,0.3911686801191465,0.49647196375035096,0.501378075207333,0.972968640268904,0.7181009832233884
calibration,feistel_null,16,bit_a019_d019_off+000,2,160000,80169,0.50105625,0.5,0.399508210948628,0.4986031749366118,0.5035092867851985,0.972968640268904,0.72543398985352
calibration,feistel_null,16,bit_a019_d019_off+000,3,160000,80097,0.50060625,0.5,0.6294509353393409,0.49815317942485265,0.5030592986048255,0.972968640268904,0.8740161242824332
calibration,feistel_null,16,bit_a019_d019_off+000,4,160000,79624,0.49765,0.5,0.06044925924571498,0.4951970082502661,0.5001030769130446,0.972968640268904,0.20809068176023804
calibration,feistel_null,16,bit_a019_d019_off+000,5,160000,79989,0.49993125,0.5,0.9581303170636011,0.497478189878032,0.5023843126134477,0.9733387347947694,0.9897694310375219
calibration,feistel_null,16,bit_a019_d019_off+000,6,160000,79969,0.49980625,0.5,0.8787926516218909,0.49735319230378955,0.5022593147176536,0.972968640268904,0.9667852119261026
calibration,feistel_null,16,bit_a019_d019_off+000,7,160000,80042,0.5002625,0.5,0.8356194734320554,0.49780943419030055,0.5027155562967766,0.972968640268904,0.9545675377001615
calibration,feistel_null,16,bit_a019_d019_off+000,8,160000,79971,0.49981875,0.5,0.8866851368009541,0.49736569205432335,0.5022718145141234,0.972968640268904,0.9686688265478417
calibration,feistel_null,16,bit_a019_d019_off+000,9,160000,79948,0.499675,0.5,0.7967929119594648,0.49722194501562994,0.5021280667622745,0.972968640268904,0.9442014448154127
calibration,feistel_null,16,bit_a019_d019_off+000,10,160000,80248,0.50155,0.5,0.21590138725817035,0.4990969222952378,0.5040030215332174,0.972968640268904,0.5215862391137931
calibration,feistel_null,16,bit_a019_d019_off+000,11,160000,79812,0.498825,0.5,0.3485014541636238,0.49637196666480166,0.5012780759168531,0.972968640268904,0.680954374246694
calibration,feistel_null,16,bit_a019_d019_off+000,12,160000,80252,0.501575,0.5,0.2085725012573532,0.4991219222250428,0.5040280206974197,0.972968640268904,0.5110342350156237
calibration,feistel_null,16,bit_a019_d019_off+000,13,160000,79907,0.49941875,0.5,0.6437229380901045,0.4969657007967142,0.5018718202676149,0.972968640268904,0.8800698112206503
calibration,feistel_null,16,bit_a019_d019_off+000,14,160000,79888,0.4993,0.5,0.5771859957716193,0.4968469536939494,0.501753071673845,0.972968640268904,0.845306721496193
calibration,feistel_null,16,bit_a019_d019_off+000,15,160000,80033,0.50020625,0.5,0.8709121931602688,0.4977531850803474,0.5026593074452131,0.972968640268904,0.9650971276922105
calibration,feistel_null,16,bit_a019_d019_off+000,16,160000,80255,0.50159375,0.5,0.20319537835489923,0.499140672176416,0.504046770066552,0.972968640268904,0.503643861793005
calibration,feistel_null,16,bit_a019_d019_off+000,17,160000,80025,0.50015625,0.5,0.9025030957611782,0.49770318589753065,0.5026093084400154,0.972968640268904,0.9742390576211748
calibration,feistel_null,16,bit_a019_d019_off+000,18,160000,79814,0.4988375,0.5,0.35366702681907614,0.49638446629513605,0.5012905758335224,0.972968640268904,0.6843443602848336
calibration,feistel_null,16,bit_a019_d019_off+000,19,160000,79913,0.49945625,0.5,0.6653781852793414,0.49700319991050773,0.5019093197948323,0.972968640268904,0.8905724055324752
calibration,feistel_null,16,bit_a019_d019_off+000,20,160000,79642,0.4977625,0.5,0.0738563821043131,0.4953095036829826,0.5002155774033609,0.972968640268904,0.24528303332372958
calibration,feistel_null,16,bit_a019_d019_off+000,21,160000,79807,0.49879375,0.5,0.33579852172056907,0.4963407175956646,0.501246826118481,0.972968640268904,0.6689838253732737
calibration,feistel_null,16,bit_a019_d019_off+000,22,160000,80052,0.500325,0.5,0.7967929119594648,0.4978719332377255,0.5027780549843701,0.972968640268904,0.9442014448154127
calibration,feistel_null,16,bit_a019_d019_off+000,23,160000,80185,0.50115625,0.5,0.35626786765144614,0.49870317420871724,0.5036092838891226,0.972968640268904,0.6860065747933073
calibration,feistel_null,16,bit_a019_d019_off+000,24,160000,79858,0.4991125,0.5,0.4792559270253929,0.4966594585498896,0.5015655736128495,0.972968640268904,0.786891612946022
calibration,feistel_null,16,bit_a019_d019_off+000,25,160000,79848,0.49905,0.5,0.4487504665905057,0.49659696024509664,0.5015030741826242,0.972968640268904,0.7625630232138697
calibration,feistel_null,16,bit_a019_d019_off+000,26,160000,80124,0.500775,0.5,0.5369051124799155,0.49832192750921067,0.503228044405017,0.972968640268904,0.8234510761549177
calibration,feistel_null,16,bit_a019_d019_off+000,27,160000,80148,0.500925,0.5,0.4608184497086765,0.49847192604069207,0.5033780404375798,0.972968640268904,0.772220312843691
