phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,0,160000,159400,0.99625,0.99609375,0.326109478993354,0.9959382030443988,0.9965435962193318,0.5705080046317352,0.6126518587742071
calibration,feistel_null,16,bit_a019_d019_off+000,1,160000,159352,0.99595,0.99609375,0.3565675028948345,0.9956265139305183,0.9962553055688683,0.5705080046317352,0.6464679939169805
calibration,feistel_null,16,bit_a019_d019_off+000,2,160000,159349,0.99593125,0.99609375,0.2973322516553708,0.9956070481398528,0.9962372725898415,0.5705080046317352,0.5825284930390938
calibration,feistel_null,16,bit_a019_d019_off+000,3,160000,159326,0.9957875,0.99609375,0.05187194823148242,0.9954578649452759,0.9960989650945984,0.2977938135770917,0.15808593746737498
calibration,feistel_null,16,bit_a019_d019_off+000,4,160000,159407,0.99629375,0.99609375,0.20672421246595302,0.9959836966608732,0.996585599558239,0.5512645665758747,0.4604530022443501
calibration,feistel_null,16,bit_a019_d019_off+000,5,160000,159343,0.99589375,0.99609375,0.1996165534480121,0.9955681215463325,0.9962012016327074,0.5512645665758747,0.45196200780681983
calibration,feistel_null,16,bit_a019_d019_off+000,6,160000,159387,0.99616875,0.99609375,0.6448810532822427,0.9958537419531708,0.9964655628986566,0.7936997578858371,0.8440161024552869
calibration,feistel_null,16,bit_a019_d019_off+000,7,160000,159388,0.996175,0.99609375,0.6163958739378903,0.9958602377309614,0.9964715666939887,0.7936997578858371,0.8276084461263982
calibration,feistel_null,16,bit_a019_d019_off+000,8,160000,159377,0.99610625,0.99609375,0.9520651830367521,0.9957887952343962,0.9964055138597604,0.9520651830367521,0.9875554572828548
calibration,feistel_null,16,bit_a019_d019_off+000,9,160000,159390,0.9961875,0.99609375,0.5611553143204794,0.995873229896139,0.9964835736735886,0.7936997578858371,0.7939706731726752
calibration,feistel_null,16,bit_a019_d019_off+000,10,160000,159422,0.9963875,0.99609375,0.059588385203322686,0.9960812183377172,0.9966755712689978,0.2977938135770917,0.17848627081182458
calibration,feistel_null,16,bit_a019_d019_off+000,11,160000,159379,0.99611875,0.99609375,0.8884503477324643,0.9958017829811817,0.9964175252683092,0.9476803709146286,0.9594064497448435
calibration,feistel_null,16,bit_a019_d019_off+000,12,160000,159327,0.99579375,0.99609375,0.05689574259212015,0.9954643492022518,0.9961049804371879,0.2977938135770917,0.17122229745591017
calibration,feistel_null,16,bit_a019_d019_off+000,13,160000,159366,0.9960375,0.99609375,0.7182837924895307,0.995717376662717,0.9963394370440737,0.820895762845178,0.8800924579322902
calibration,feistel_null,16,bit_a019_d019_off+000,14,160000,159330,0.9958125,0.99609375,0.07444845339427293,0.9954838030319315,0.9961230254038845,0.2977938135770917,0.21494891807068275
calibration,feistel_null,16,bit_a019_d019_off+000,15,160000,159349,0.99593125,0.99609375,0.2973322516553708,0.9956070481398528,0.9962372725898415,0.5705080046317352,0.5825284930390938
calibration,feistel_null,16,bit_a044_d044_off+000,0,160000,159371,0.99606875,0.99609375,0.8726175464058323,0.9957498367239649,0.9963694748930294,1.0,0.9530294022179738
calibration,feistel_null,16,bit_a044_d044_off+000,1,160000,159372,0.996075,0.99609375,0.904284411952708,0.995756329319074,0.9963754818785991,1.0,0.9688761556636157
calibration,feistel_null,16,bit_a044_d044_off+000,2,160000,159389,0.99618125,0.99609375,0.5884764046808989,0.9958667337117855,0.9964775702857988,1.0,0.8169737505331351
calibration,feistel_null,16,bit_a044_d044_off+000,3,160000,159375,0.99609375,0.99609375,1.0,0.9957758082784421,0.9963935016585105,1.0,1.0
calibration,feistel_null,16,bit_a044_d044_off+000,4,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,1.0,0.9886227711608762
calibration,feistel_null,16,bit_a044_d044_off+000,5,160000,159353,0.99595625,0.99609375,0.37786194706260084,0.995633002899706,0.9962613161887326,1.0,0.6668152006987074
calibration,feistel_null,16,bit_a044_d044_off+000,6,160000,159415,0.99634375,0.99609375,0.11333402266556593,0.9960357021458083,0.99663359056198,1.0,0.3030659101920426
calibration,feistel_null,16,bit_a044_d044_off+000,7,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,1.0,0.9886227711608762
calibration,feistel_null,16,bit_a044_d044_off+000,8,160000,159365,0.99603125,0.99609375,0.6885399078547646,0.9957108852301221,0.9963334288932781,1.0,0.8617970163501617
calibration,feistel_null,16,bit_a044_d044_off+000,9,160000,159384,0.99615,0.99609375,0.7333675617740207,0.9958342558330691,0.9964475502964784,1.0,0.8878094064351323
calibration,feistel_null,16,bit_a044_d044_off+000,10,160000,159410,0.9963125,0.99609375,0.16669297883600925,0.9960031971067277,0.9966035977996639,1.0,0.39906548549269044
calibration,feistel_null,16,bit_a044_d044_off+000,11,160000,159356,0.995975,0.99609375,0.4463032151466413,0.9956524709301883,0.9962793469228468,1.0,0.7176735117935941
calibration,feistel_null,16,bit_a044_d044_off+000,12,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,1.0,0.9886227711608762
calibration,feistel_null,16,bit_a044_d044_off+000,13,160000,159387,0.99616875,0.99609375,0.6448810532822427,0.9958537419531708,0.9964655628986566,1.0,0.8440161024552869
calibration,feistel_null,16,bit_a044_d044_off+000,14,160000,159404,0.996275,0.99609375,0.2533108709405798,0.9959641981303896,0.9965675993966865,1.0,0.5224026554306264
calibration,feistel_null,16,bit_a044_d044_off+000,15,160000,159402,0.9962625,0.99609375,0.28816260786621706,0.9959512001670582,0.9965555982293803,1.0,0.5703837186630276
calibration,feistel_null,16,bit_a068_d068_off+000,0,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,0.968026463428358,0.9886227711608762
calibration,feistel_null,16,bit_a068_d068_off+000,1,160000,159366,0.9960375,0.99609375,0.7182837924895307,0.995717376662717,0.9963394370440737,0.9026062298757178,0.8800924579322902
calibration,feistel_null,16,bit_a068_d068_off+000,2,160000,159347,0.99591875,0.99609375,0.2617210895855886,0.99559407187256,0.9962252496752418,0.9026062298757178,0.5334442590279513
calibration,feistel_null,16,bit_a068_d068_off+000,3,160000,159351,0.99594375,0.99609375,0.33604567866258933,0.9956200251477654,0.9962492947621453,0.9026062298757178,0.6215873824972751
calibration,feistel_null,16,bit_a068_d068_off+000,4,160000,159396,0.996225,0.99609375,0.411288079377106,0.9959122113044169,0.996519589687755,0.9026062298757178,0.6982078801096759
calibration,feistel_null,16,bit_a068_d068_off+000,5,160000,159312,0.9957,0.99609375,0.012935907611608323,0.9953671036326238,0.9960147319736176,0.20697452178573317,0.04297048895205533
calibration,feistel_null,16,bit_a068_d068_off+000,6,160000,159363,0.99601875,0.99609375,0.6305127956476326,0.995697902940957,0.9963214120143271,0.9026062298757178,0.8354620894709832
calibration,feistel_null,16,bit_a068_d068_off+000,7,160000,159397,0.99623125,0.99609375,0.3888440252169814,0.9959187089275388,0.9965255916332852,0.9026062298757178,0.6774777934814922
calibration,feistel_null,16,bit_a068_d068_off+000,8,160000,159387,0.99616875,0.99609375,0.6448810532822427,0.9958537419531708,0.9964655628986566,0.9026062298757178,0.8440161024552869
calibration,feistel_null,16,bit_a068_d068_off+000,9,160000,159360,0.996,0.99609375,0.5476687068590793,0.9956784309405377,0.9963033852592592,0.9026062298757178,0.7870688002765212
calibration,feistel_null,16,bit_a068_d068_off+000,10,160000,159405,0.99628125,0.99609375,0.23703227797610793,0.9959706974286225,0.9965735996629903,0.9026062298757178,0.49792338480757903
calibration,feistel_null,16,bit_a068_d068_off+000,11,160000,159390,0.9961875,0.99609375,0.5611553143204794,0.995873229896139,0.9964835736735886,0.9026062298757178,0.7939706731726752
calibration,feistel_null,16,bit_a068_d068_off+000,12,160000,159377,0.99610625,0.99609375,0.9520651830367521,0.9957887952343962,0.9964055138597604,0.968026463428358,0.9875554572828548
calibration,feistel_null,16,bit_a068_d068_off+000,13,160000,159384,0.99615,0.99609375,0.7333675617740207,0.9958342558330691,0.9964475502964784,0.9026062298757178,0.8878094064351323
calibration,feistel_null,16,bit_a068_d068_off+000,14,160000,159365,0.99603125,0.99609375,0.6885399078547646,0.9957108852301221,0.9963334288932781,0.9026062298757178,0.8617970163501617
calibration,feistel_null,16,bit_a068_d068_off+000,15,160000,159381,0.99613125,0.99609375,0.825545676953505,0.9958147715226021,0.9964295358803383,0.9434807736611486,0.9351313862836163
calibration,feistel_null,16,bit_a093_d093_off+000,0,160000,159397,0.99623125,0.99609375,0.3888440252169814,0.9959187089275388,0.9965255916332852,0.5642038718827186,0.6774777934814922
calibration,feistel_null,16,bit_a093_d093_off+000,1,160000,159407,0.99629375,0.99609375,0.20672421246595302,0.9959836966608732,0.996585599558239,0.5512645665758747,0.4604530022443501
calibration,feistel_null,16,bit_a093_d093_off+000,2,160000,159398,0.9962375,0.99609375,0.3671614830414377,0.995925206758233,0.9965315933707364,0.5642038718827186,0.6533364665797594
calibration,feistel_null,16,bit_a093_d093_off+000,3,160000,159409,0.99630625,0.99609375,0.17933242110671713,0.995996696744396,0.9965975986001014,0.5512645665758747,0.42041300186190095
calibration,feistel_null,16,bit_a093_d093_off+000,4,160000,159321,0.99575625,0.99609375,0.03198683977615851,0.9954254462897645,0.9960688857465462,0.5117894364185361,0.1021875746592751
calibration,feistel_null,16,bit_a093_d093_off+000,5,160000,159339,0.99586875,0.99609375,0.14903814229324908,0.9955421741423356,0.99617715066139,0.5512645665758747,0.37018529521738447
calibration,feistel_null,16,bit_a093_d093_off+000,6,160000,159394,0.9962125,0.99609375,0.45841564590470885,0.9958992166788408,0.9965075851745139,0.5642038718827186,0.7298159536791384
calibration,feistel_null,16,bit_a093_d093_off+000,7,160000,159401,0.99625625,0.99609375,0.3067476122713609,0.9959447015009065,0.9965495973294358,0.5642038718827186,0.5919149905135808
calibration,feistel_null,16,bit_a093_d093_off+000,8,160000,159421,0.99638125,0.99609375,0.06522564248713436,0.9960747153657834,0.9966695746856129,0.5218051398970749,0.19237055848740087
calibration,feistel_null,16,bit_a093_d093_off+000,9,160000,159395,0.99621875,0.99609375,0.43448307620013293,0.9959057138883544,0.9965135875346601,0.5642038718827186,0.7172893433398584
calibration,feistel_null,16,bit_a093_d093_off+000,10,160000,159362,0.9960125,0.99609375,0.6023046362527831,0.9956914120834872,0.9963154032870745,0.6424582786696352,0.8236644598328658
calibration,feistel_null,16,bit_a093_d093_off+000,11,160000,159359,0.99599375,0.99609375,0.521301069631201,0.9956719406541688,0.9962973759595891,0.5957726510070869,0.7752889649046522
calibration,feistel_null,16,bit_a093_d093_off+000,12,160000,159341,0.99588125,0.99609375,0.17294742854839296,0.9955551474807111,0.9961891765114845,0.5512645665758747,0.4099494602628574
calibration,feistel_null,16,bit_a093_d093_off+000,13,160000,159349,0.99593125,0.99609375,0.2973322516553708,0.9956070481398528,0.9962372725898415,0.5642038718827186,0.5825284930390938
calibration,feistel_null,16,bit_a093_d093_off+000,14,160000,159356,0.995975,0.99609375,0.4463032151466413,0.9956524709301883,0.9962793469228468,0.5642038718827186,0.7176735117935941
calibration,feistel_null,16,bit_a093_d093_off+000,15,160000,159373,0.99608125,0.99609375,0.9361042439484883,0.9957628221095461,0.9963814886683475,0.9361042439484883,0.9810699499896821
calibration,feistel_null,16,bit_a118_d118_off+000,0,160000,159358,0.9959875,0.99609375,0.49560258495764375,0.9956654505572808,0.9962913664700027,0.7534514434390517,0.7522189431768189
calibration,feistel_null,16,bit_a118_d118_off+000,1,160000,159387,0.99616875,0.99609375,0.6448810532822427,0.9958537419531708,0.9964655628986566,0.7534514434390517,0.8440161024552869
calibration,feistel_null,16,bit_a118_d118_off+000,2,160000,159345,0.99590625,0.99609375,0.22917350277737814,0.9955810963425052,0.9962132260217409,0.7534514434390517,0.48781942941526163
calibration,feistel_null,16,bit_a118_d118_off+000,3,160000,159380,0.996125,0.99609375,0.8568844719153044,0.9958082771523237,0.9964235306741286,0.9140101033763247,0.9477063283855901
calibration,feistel_null,16,bit_a118_d118_off+000,4,160000,159418,0.9963625,0.99609375,0.0884437484147571,0.9960552077709716,0.9966515836111126,0.7075499873180568,0.24862664268862905
calibration,feistel_null,16,bit_a118_d118_off+000,5,160000,159421,0.99638125,0.99609375,0.06522564248713436,0.9960747153657834,0.9966695746856129,0.7075499873180568,0.19237055848740087
calibration,feistel_null,16,bit_a118_d118_off+000,6,160000,159376,0.9961,0.99609375,0.98401318155977,0.9957823016578018,0.9963995078579856,0.98401318155977,0.9959437578253866
calibration,feistel_null,16,bit_a118_d118_off+000,7,160000,159362,0.9960125,0.99609375,0.6023046362527831,0.9956914120834872,0.9963154032870745,0.7534514434390517,0.8236644598328658
calibration,feistel_null,16,bit_a118_d118_off+000,8,160000,159348,0.995925,0.99609375,0.27914045471074067,0.9956005599138409,0.9962312612251158,0.7534514434390517,0.5582809094214813
calibration,feistel_null,16,bit_a118_d118_off+000,9,160000,159390,0.9961875,0.99609375,0.5611553143204794,0.995873229896139,0.9964835736735886,0.7534514434390517,0.7939706731726752
calibration,feistel_null,16,bit_a118_d118_off+000,10,160000,159390,0.9961875,0.99609375,0.5611553143204794,0.995873229896139,0.9964835736735886,0.7534514434390517,0.7939706731726752
calibration,feistel_null,16,bit_a118_d118_off+000,11,160000,159364,0.996025,0.99609375,0.6592700130091702,0.9957043939896857,0.9963274205498786,0.7534514434390517,0.8483903652664925
calibration,feistel_null,16,bit_a118_d118_off+000,12,160000,159410,0.9963125,0.99609375,0.16669297883600925,0.9960031971067277,0.9966035977996639,0.7534514434390517,0.39906548549269044
calibration,feistel_null,16,bit_a118_d118_off+000,13,160000,159353,0.99595625,0.99609375,0.37786194706260084,0.995633002899706,0.9962613161887326,0.7534514434390517,0.6668152006987074
calibration,feistel_null,16,bit_a118_d118_off+000,14,160000,159356,0.995975,0.99609375,0.4463032151466413,0.9956524709301883,0.9962793469228468,0.7534514434390517,0.7176735117935941
calibration,feistel_null,16,bit_a118_d118_off+000,15,160000,159364,0.996025,0.99609375,0.6592700130091702,0.9957043939896857,0.9963274205498786,0.7534514434390517,0.8483903652664925
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,0,160000,159423,0.99639375,0.99609375,0.054361354367768344,0.9960877215307635,0.9966815676307069,0.4099026768153534,0.16462744540396723
